factual_questions,scenario_based_questions,advice_seeking_questions,ground_truth_doc_ids,ground_truth_docs
What are the main objectives outlined in Vietnam's Criminal Code?,"If a citizen observes an act that threatens national security, what legal obligations do they have under this code?","As someone interested in preventing crime, how can I contribute to raising public awareness of compliance with Vietnamese law?",37391d30-5469-4f34-8ab8-d5c2f69ec1fa,"Article 1. Objectives of the Criminal Code 
The Criminal Code is meant to protect Vietnam’s sovereignty and security; protect the socialism 
regime, human rights, citizenship rights; protect the equality among ethnic groups; protect 
interests of the State; organize and protect the law; punish crimes; raise people’s awareness of 
compliance with the law; prevent and fight crimes. 
This Code provides for crimes and punishments. 
"
What does Article 2 state about criminal liability for individuals and corporations?,"If someone performs an act that isn't listed as a crime in the Criminal Code, can they be arrested or charged with a criminal offence?","As a business owner, what steps should I take to ensure my company doesn't engage in activities that could lead to criminal liability?",7c425d7e-61fa-4bf2-819d-28ea18721376,"Article 2. Basis of criminal liability 
1. No one who commits a criminal offence that is not regulated by the Criminal Code has to 
incur criminal liability. 
2. No corporate legal entity that commits a criminal offence that is not regulated in Article 76 
hereof has to incur criminal liability. 
"
What specific punishments must be shown to individuals who commit less serious crimes for the first time?,"If a corporation is found guilty of organizing and committing fraud against consumers, what legal consequences might it face under this code?","As an individual recently convicted of a minor offense, how can I ensure that my criminal record gets expunged after serving my sentence?",d99ee775-1e35-437c-a442-67f5a2f4b520,"Article 3. Rules for punishing crimes 
1. With regard to criminals: 
a) Every crime committed by a person must be discovered promptly and dealt with quickly and 
fairly in compliance with law;  
b) All criminals are equal before the law regardless of gender, ethnicity, belief, religion, social 
class, or social status; 
c) Instigation of crimes, masterminds, or obstinacy, gangster-like crimes, dangerous recidivism, 
abuse of positions or power to commit criminal offences shall be strictly punished; 
d) Criminal offences committed by employment of deceitful methods; in an organized manner, in 
a professional manner, or with intent to inflict extremely serious consequences shall be strictly 
punished. 
Leniency shall be showed towards criminals who turn themselves in; show cooperative attitudes; 
inform on accomplices; made reparation in an effort to atone for their crimes; express contrition; 
voluntarily compensate for damage they inflict;dd) A person who commit a less serious crime for the first time may serve a community sentence 
(mandatory supervision by family or an organization); 
e) People sentenced to imprisonment shall serve their sentences at prisons and must improve 
themselves to become effective and productive citizens; commutation or conditional parole shall 
be granted to people who satisfy conditions set out in this Code; 
g) People who have served their sentences are enabled to live and work honesty and fit into 
society; criminal records shall be expunged when all conditions are satisfied. 
2. With regard to corporate legal entities that commit criminal offences: 
a) Every criminal offence committed by a corporate legal entity must be discovered promptly 
and dealt with quickly and fairly in compliance with law;  
b) All corporate legal entities that commit criminal offences are equal before the law regardless 
of type of business and economic sector; 
c) Criminal offences committed by deceitful methods; organized crimes, deliberate infliction of 
extremely serious consequences shall be strictly punished; 
d) Leniency shall be showed towards corporate legal entities that are cooperative during the 
proceeding, voluntarily compensate for damage they inflict, proactively prevent or alleviate 
consequences. 
"
What are the responsibilities of police authorities regarding crime prevention?,"If a company fails to educate its employees about legal compliance, what actions might they be required to take under this law?","As a citizen, how can I actively participate in preventing and fighting against crimes according to the regulations?",0af9be09-f247-4c5c-85f2-1fe96afa1ec6,"Article 4. Responsibility for prevention and fight against crimes 
1. Police authorities, the People’s Procuracies, People’s Courts, and other authorities concerned 
shall perform their functions, duties and authority; provide guidance and assistance for other 
state agencies, organizations and individuals in prevention and fight against crimes, supervision 
and education of criminals in the community.  
2. Organizations are responsible for raising the awareness of people under their management of 
protection and compliance with the law, respect for socialism rules; promptly take measures for 
eliminate causes and conditions of crimes within their organizations. 
3. Every citizen has the duty to participate in prevention and fight against crimes. "
What does Article 5 of the Criminal Code state about its application to crimes committed within Vietnam's territory?,"If a foreign diplomat commits a crime in Vietnam, what legal procedures would apply according to this article?","As an individual living in Vietnam, how can I ensure compliance with the country's criminal laws?",4a48b0d2-dc24-4a13-9669-accfce278fed,"Article 5. Effect of the Criminal Code on criminal offences committed within the territory 
of the Socialist Republic of Vietnam  
1. The Criminal Code applies to every criminal offence committed within the territory of the 
Socialist Republic of Vietnam. 
It also applies to criminal offences committed on sea-going vessels and airplanes having 
Vietnamese nationality or operating in Vietnam’s exclusive economic zones or continental 
shelves, or consequences thereof. 
2. Criminal liability of foreigners who commit criminal offences within the territory of Socialist 
Republic of Vietnam and are granted diplomatic immunity according to Vietnam’s law or under 
an international agreement to which Socialist Republic of Vietnam is a signatory or according to 
international practice shall be dealt with in accordance with the international agreement orpractice. If the case is not set out in any international agreement or there is no such international 
practice, their criminal liability shall be dealt with in a diplomatic manner. 
"
What are the conditions for foreigners committing crimes outside Vietnam to be prosecuted in Vietnam?,Imagine a Vietnamese company operating internationally commits fraud against a Vietnamese citizen abroad; what legal consequences might they face under this criminal code?,"If I am planning international business, how can I ensure my activities comply with Vietnam's criminal laws when conducted outside the country?",fabcef91-69d1-4314-8af1-fb085b07c1a1,"Article 6. Effect of the Criminal Code on criminal offences committed outside the territory 
of the Socialist Republic of Vietnam  
1. Any Vietnamese citizen or Vietnamese corporate legal entity that commits an act outside the 
territory of Socialist Republic of Vietnam which is defined as a criminal offence by this Code 
shall face criminal prosecution in Vietnam as prescribed by this Code. 
This clause also applies to stateless residents of Vietnam. 
2. Any foreigner or foreign corporate legal entity that commit a criminal offence outside the 
territory of Socialist Republic of Vietnam shall face criminal prosecution as prescribed by this 
Code if such offence infringes the lawful rights and interests of Vietnamese citizens or interest of 
Socialist Republic of Vietnam or under a international agreement to which Vietnam is a 
signatory.  
3. Where a criminal offence or its consequence occurs on an airplane or sea-going vessel that 
does not have Vietnamese nationality at sea or outside Vietnam's airspace, the offender shall face 
criminal prosecution under an international agreement to which Vietnam is a signatory, if any.  
"
What does Article 7 specify about the application of laws effective at the same time as a crime was committed?,"If someone commits a crime on January 1st, and a new law with harsher penalties comes into effect that day, can they be prosecuted under the old or new law?","As an individual facing charges from a past criminal act, what steps should I take to understand how current laws might affect my case?",a1cd501a-5071-4503-8dd9-3ccf5590ed14,"Article 7. Chronological effect of Criminal Code 
1. A provision of law effective at the same time as the commitment of the criminal offence shall 
be applied to such criminal offence. 
2. A provision of law that provides for a new crime, a more severe sentence, a new aggravating 
factor or reduce the scope of suspended sentences, exemption from criminal liability, removal of 
criminal responsibility, exemption from sentence, commutation, or conviction expungement 
which is less favorable shall not be applied to criminal offences committed before such provision 
of law comes into force. 
3. A provision of law that removes a new crime, a sentence, a aggravating factor or provides for 
a less severe sentence, a new mitigating factor, or increase the scope of probation, exemption or 
conviction expungement of criminal liability, exemption from sentence, commutation, 
conditional parole, or conviction expungement, and other provisions which is more favorable 
may be applied to criminal offences committed before such provisions of law comes into force. "
What does the definition of a crime include according to Article 8?,"If someone deliberately commits an act that endangers social order, could it be considered a crime under this law?","As a legal entity, how can I ensure my actions do not constitute a crime and avoid criminal prosecution?",b662449b-08ad-4400-80dc-54000de6a80b,"Article 8. Definition of crime 
1. A crime means an act that is dangerous for society and defined in Criminal Code, is 
committed by a person who has criminal capacity of corporate legal entity, whether deliberately 
or involuntarily, infringes the sovereignty and territorial integrity of the nation, infringes the 
political regime, economic regime, culture, national defense and security, social order and safety, 
the lawful rights and interests of organizations, human rights, the lawful rights and interests of 
citizens, other aspects of socialist law, and leads to criminal prosecution as prescribed by this 
Code. 
2. An act showing signs of a crime but not remarkably dangerous for society is not a crime and 
shall be dealt with otherwise."
What are the four categories into which crimes are classified according to this legal code?,"If someone is charged with a crime that could result in up to five years of imprisonment, how would it be categorized under this classification system?","As an individual facing charges for an offense with a maximum penalty of two years' imprisonment, what steps should I take to understand my legal position?",aee96e03-8591-4302-9eb5-9dad238b157e,"Article 9. Classification of crimes 
Crimes defined in this Code are classified into four categories according to their nature and 
danger to society: 
1. Less serious crime means a crime whose danger to society is not significant and for which the 
maximum sentence defined by this Code is a fine, community sentence (non-custodial), or 3 
years' imprisonment; 
2. Serious crime means a crime whose danger to society is significant and for which the 
maximum sentence of the bracket defined by this Code is from over 3 years' to 7 years' 
imprisonment; 
3. Very serious crime means a crime whose danger to society is great and for which the 
maximum sentence of the bracket defined by this Code is from over 7 years' to 15 years' 
imprisonment; 
4. Extremely serious crime means a crime whose danger to society is enormous and for which 
the maximum sentence of the bracket defined by this Code is from over 15 years' to 20 years' 
imprisonment, life imprisonment, or death. 
"
What are the two definitions provided in Article 10 for deliberate crimes?,"If someone knows their actions could harm society but doesn't care about the outcome, and they proceed anyway, is this considered a deliberate crime under the law?","As an individual, how can I ensure that my actions do not constitute a deliberate crime according to legal standards?",99319cd9-cc70-4ea0-84c3-26a08f26694a,"Article 10. Deliberate crimes 
Cases of deliberate crimes: 
1. The offender is aware of the danger to society of his/her act, foresees consequences of such 
act, and wants such consequences to occur; 
2. The offender is aware of the danger to society of his/her act, foresees consequences of such 
act, and does not want such consequences to occur but still deliberately lets them occur. 
"
What are the two main categories defined for involuntary crimes in this legal context?,"If someone is aware that their actions might cause harm but thinks they can avoid it, or if they didn't anticipate the consequences despite being able to foresee them, how would these situations be classified under the law?","As a person trying to understand involuntary crimes, what steps should I take to properly analyze whether an offender's actions fall into this category based on their awareness and foresight?",2702f171-64fb-41fc-bed8-3073622f145b,"Article 11. Involuntary crimes 
Cases of involuntary crimes: 
1. The offender is aware of the danger to society of his/her act but believes that consequences 
would not occur or could be prevented; 
2. The offender is not aware of the danger to society of his/her act though the consequences have 
to be foreseen and could be foreseen. 
"
What is the minimum age at which a person can be held criminally responsible for crimes according to this law?,"If a teenager aged 15 commits robbery, what legal consequences might they face under this criminal responsibility article?","As someone concerned about youth crime, how should I understand the age limits for criminal liability in my jurisdiction?",870a64eb-35cc-446d-a25b-0963a557530d,"Article 12. Age of criminal responsibility 
1. A person from 16 years of age and above shall bear criminal responsibility for every crime, 
except for those otherwise prescribed by this Code. 
2. A person from 14 years of age to be low 16 years of age shall bear criminal responsibility for 
murder, deliberate infliction of bodily harm upon other people, raping, raping people under 16 
years of age, sexual abuse of people from 13 to under 16 years of age, robbery, kidnapping for 
ransom; very serious crimes, and extremely serious crimes defined in the following Articles: 
a) Article 143 (Sexual abuse); Article 150 (Human trafficking); Article 151 (Trafficking of 
people under 16 years of age); 
b) Article 170 (Extortion); Article 171 (Snatching); Article 173 (Theft); Article 178 (Vandalism 
or deliberate destruction of property);c) Article 248 (Illegal production of narcotic substances); Article 249 (Illegal storage of narcotic 
substances; Article 250 (Illegal trafficking of narcotic substance; Article 251 (Illegal trading of 
narcotic substances); Article 252 (Appropriation of narcotic substances);  
d) Article 265 (Organization of illegal racing); Article 266 (Illegal racing);  
dd) Article 285 (Producing, dealing in tools, equipment, software programs serving illegal 
purposes); Article 286 (Spreading software programs harmful to computer networks, 
telecommunications network, or electronic devices); Article 287 (Obstruction or disruption of 
computer network, telecommunications network, or electronic devices); Article 289 (Illegal 
access to others' computer network, telecommunications network, or electronic devices); Article 
290 (Appropriation of property by computer network, telecommunications network, or electronic 
devices);  
e) Article 299 (Terrorism); Article 303 (Destruction of works, facilities, or vehicles important to 
national security); Article 304 (Illegal fabrication, storage, trafficking, use, trading, or 
appropriation of military weapons or military equipment). 
"
What happens if someone commits a crime while under the influence of alcohol?,"If a person drinks heavily before committing theft, would they be held criminally responsible according to this law?","As an individual, how can I avoid being held accountable for crimes committed under the influence of substances?",9670015e-2907-4e4a-a7f9-ac1a22e3eb64,"Article 13. Crimes committed under the influence of alcohol or other strong stimulants 
A person who has lost his/her awareness or control of his/her acts because of influence of alcohol 
or other strong stimulants still have to bear criminal responsibility. 
"
What is defined as preparation for a crime according to the law?,"If someone helps gather materials that could be used against the government, what legal consequences might they face under the provisions of Article 14?","As an individual concerned about national security, how can I ensure my actions do not constitute preparation for a crime as outlined in Article 14?",95c83dd7-af08-431d-881f-5a306ce89980,"Article 14. Preparation for crimes 
1. Preparation for a crime means finding, preparing tools, equipment, or other conditions for the 
crime, or establishing, joining a group of criminals, except for the cases specified in Article 
1009, Point a Clause 2 Article 113, or Point a Clause 2 Article 299 hereof. 
2. A person who prepares for any of the following crimes shall bear criminal responsibility: 
a) Article 108 (High treason); Article 110 (Espionage); Article 111 (Infringement upon territory); 
Article 112 (Rebellion); Article 113 (Terrorism aimed to oppose the people's authority); Article 
114 (Sabotage of technical facilities of Socialist Republic of Vietnam); Article 117 (Fabrication, 
storage, spreading, or dissemination of information, materials, items for opposing the 
government of Socialist Republic of Vietnam; Article 118 (Disruption of security); Article 119 
(Disruption of detention facility); Article 120 (Organizing, coercing, instigating illegal 
emigration for the purpose of opposing the people's authority); Article 121 (Illegal emigration for 
the purpose of opposing the people's authority); 
b) Article 123 (Murder); Article 134 (Deliberate infliction of bodily harm upon another person); 
C) Article 168 (Robbery); Article 169 (Kidnapping for ransom); 
d) Article 299 (Terrorism); Article 300 (terrorism financing); Article 301 (Taking hostages); 
Article 302 (Piracy); Article 3030 (Destruction of works, facilities, vehicles important to national 
security); Article 324 (Money laundering).  
3. A person from 14 to under 16 years of age who prepares for any of the crimes specified in 
Point b and Point c Clause 2 of this Article has to bear criminal responsibility. 
"
What does an incomplete crime mean according to this definition?,"If someone intends to commit a robbery but is forced to stop because their car breaks down, would they be considered guilty of an incomplete crime under the law?","As a person who has committed an incomplete crime due to circumstances beyond my control, what steps should I take to address my criminal responsibility?",c3e83648-4637-48e4-ac2f-39f3fcbb4209,"Article 15. Incomplete crimes 
An incomplete crime means a crime that is not carried out to the end because of reasons beyond 
the offender's control.The person who commits an incomplete crime has to take criminal responsibility. 
"
What is defined as abandonment in legal terms?,"If someone plans to rob a bank but decides not to and leaves without committing any act, what happens under the law of abandonment?","As an individual who has committed some crimes but wants to stop before completing them, how can I legally avoid criminal responsibility?",7556fe18-3278-401c-81c9-a56805cef742,"Article 16. Abandonment 
Abandonment means a person's voluntarily stopping committing the crime without anything 
stopping him/her from committing such crime.  
The person who abandons his/her effort to commit the crime shall be exempt from criminal 
responsibility; if the committed acts constitute another crime, the offender shall bear criminal 
responsibility for such other crime. 
"
What is defined as complicity in legal terms?,"If a group of friends plans and carries out a robbery together, what are their potential legal liabilities under the law of complicity?","As an individual involved in a planned crime with others, what steps can I take to minimize my personal risk or liability?",a4c2db31-a027-464d-98f3-16877cefd754,"Article 17. Complicity 
1. Complicity is a situation in which two or more people deliberately commit the same crime. 
2. Organized crime is a form of complicity in which the accomplices cooperate closely in 
committing the crime. 
3. An accomplice means an organizer, perpetrator, instigator, or abettor. 
Perpetrator means the person who directly commits the crime. 
Organizer means the mastermind behind the commission of the crime. 
Instigator means the person entice or encourage other people to commit the crime. 
Helper means the person who provides spiritual or material assistance in the commission of the 
crime. 
4. The accomplice shall not take criminal responsibility for unjustified force used by the 
perpetrator. 
"
